Dish,Ingredients,Procedure
Adhirasam,"Rice flour, jaggery, cardamom powder, oil for frying","1. Soak raw rice in water for a few hours, then drain and dry it. 2. Grind the rice into a fine powder. 3. Mix rice flour, powdered jaggery, cardamom powder, and water to form a smooth dough. 4. Shape the dough into small flat discs. 5. Deep fry in oil until golden brown."
Aloo Gobi,"Potatoes, cauliflower, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and cauliflower florets. 7. Cover and cook until vegetables are tender. 8. Garnish with cilantro and serve hot."
Aloo Matar,"Potatoes, green peas, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and green peas. 7. Cover and cook until potatoes are tender. 8. Garnish with cilantro and serve hot."
Aloo Methi,"Potatoes, fenugreek leaves, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and fenugreek leaves. 7. Cover and cook until potatoes are tender. 8. Garnish with cilantro and serve hot."
Aloo Shimla Mirch,"Potatoes, bell peppers, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and bell pepper slices. 7. Cover and cook until vegetables are tender. 8. Garnish with cilantro and serve hot."
Aloo Tikki,"Potatoes, onions, green chilies, ginger, coriander leaves, spices, oil","1. Boil and mash potatoes, then mix with chopped onions, green chilies, ginger, coriander leaves, and spices. 2. Shape the mixture into flat patties. 3. Heat oil in a pan and shallow fry the patties until golden brown on both sides. 4. Serve hot with chutney or yogurt."
Anarsa,"Rice flour, jaggery, sesame seeds, cardamom powder, oil for frying","1. Soak rice overnight, then drain and grind into a fine powder. 2. Mix powdered jaggery, cardamom powder, sesame seeds, and a little water with the rice flour to form a dough. 3. Roll out small balls of dough and flatten them into discs. 4. Deep fry in oil until golden brown. 5. Drain excess oil and let them cool before serving."
Ariselu,"Rice flour, jaggery, cardamom powder, oil for frying","1. Soak raw rice in water for a few hours, then drain and dry it. 2. Grind the rice into a fine powder. 3. In a pan, melt jaggery with water to form a syrup. 4. Mix rice flour, jaggery syrup, and cardamom powder to form a smooth dough. 5. Roll out small balls of dough and flatten them into discs. 6. Deep fry in oil until golden brown. 7. Drain excess oil and let them cool before serving."
Bandar Laddu,"Gram flour (besan), ghee, sugar, cardamom powder, nuts","1. Roast gram flour in ghee until aromatic. 2. Add sugar, cardamom powder, and nuts. 3. Mix well and let it cool slightly. 4. Shape into round laddus while still warm. 5. Store in an airtight container once cooled."
Basundi,"Milk, sugar, saffron, cardamom powder, nuts (like almonds, pistachios)","1. Boil milk in a heavy-bottomed pan and let it simmer on low heat, stirring occasionally until it reduces to about half its original volume. 2. Add sugar, saffron, and cardamom powder to the reduced milk and continue to cook until the mixture thickens further. 3. Remove from heat and let it cool. 4. Garnish with chopped nuts before serving."
Bhatura,"All-purpose flour (maida), yogurt, baking powder, salt, sugar, oil for frying","1. In a mixing bowl, combine all-purpose flour, yogurt, baking powder, salt, sugar, and a little water to make a soft dough. 2. Knead the dough well and let it rest for about 2 hours, covered with a damp cloth. 3. After resting, divide the dough into small balls and roll them out into circles. 4. Heat oil in a deep frying pan and fry the rolled-out dough circles until they puff up and turn golden brown on both sides. 5. Drain excess oil on paper towels before serving."
Bhindi Masala,"Okra (bhindi), onions, tomatoes, ginger-garlic paste, green chilies, coriander powder, cumin powder, turmeric, garam masala, salt, oil","1. Wash and dry the okra, then chop it into pieces. 2. Heat oil in a pan and sauté chopped onions until golden brown. 3. Add ginger-garlic paste and chopped green chilies, and sauté until fragrant. 4. Add chopped tomatoes and cook until soft. 5. Add coriander powder, cumin powder, turmeric, garam masala, and salt, and mix well. 6. Add chopped okra to the pan and cook until tender. 7. Garnish with cilantro before serving."
Biryani,"Basmati rice, chicken or meat, onions, tomatoes, yogurt, ginger-garlic paste, green chilies, spices (like cloves, cardamom, cinnamon), saffron, nuts, cilantro, mint leaves","1. Marinate the chicken or meat with yogurt, ginger-garlic paste, green chilies, and spices for a few hours. 2. In a separate pot, cook basmati rice with whole spices until partially done. 3. In a large heavy-bottomed pot, layer marinated meat, partially cooked rice, fried onions, saffron-infused milk, and chopped nuts, repeating the layers as needed. 4. Cover and cook on low heat until the meat is tender and rice is fully cooked. 5. Garnish with cilantro and mint leaves before serving."
Boondi,"Chickpea flour (besan), water, baking soda, turmeric, salt, oil for frying","1. Mix chickpea flour with water, baking soda, turmeric, and salt to form a smooth batter. 2. Heat oil in a pan and pour the batter through a perforated ladle or a slotted spoon to form tiny droplets (boondi) into the hot oil. 3. Fry the boondi until they turn golden brown and crispy. 4. Drain excess oil and let them cool. 5. Store in an airtight container for later use or use immediately in recipes like raita or as a snack."
Butter Chicken,"Chicken, yogurt, ginger-garlic paste, lemon juice, spices (like garam masala, chili powder, turmeric), tomatoes, cream, butter, fenugreek leaves (kasuri methi)","1. Marinate chicken pieces in a mixture of yogurt, ginger-garlic paste, lemon juice, and spices for a few hours. 2. Grill or roast the marinated chicken until cooked through. 3. In a separate pan, heat butter and sauté chopped tomatoes until soft. 4. Add cream, cooked chicken, and fenugreek leaves to the pan and simmer until the sauce thickens. 5. Garnish with fresh cream and serve hot with naan or rice."
Chak Hao Kheer,"Black rice (Chak Hao), milk, sugar, cardamom powder, nuts (like almonds, cashews, pistachios), saffron","1. Wash the black rice and soak it in water for a few hours. 2. Drain the soaked rice and cook it with milk in a saucepan until soft and creamy. 3. Add sugar, cardamom powder, saffron, and chopped nuts to the cooked rice and mix well. 4. Simmer for a few more minutes until the kheer thickens to the desired consistency. 5. Remove from heat and let it cool slightly before serving."
Cham Cham,"Paneer (Indian cottage cheese), sugar, milk, saffron, cardamom powder, nuts (like pistachios, almonds)","1. Knead paneer with a little sugar until smooth and pliable. 2. Shape the paneer mixture into cylindrical or oval shapes. 3. Boil milk with sugar, saffron, and cardamom powder in a wide pan. 4. Gently add the paneer shapes to the boiling milk and cook until they are soft and spongy. 5. Remove the cham cham from the milk and let them cool. 6. Garnish with chopped nuts before serving."
Chana Masala,"Chickpeas, onions, tomatoes, ginger-garlic paste, green chilies, spices (like coriander powder, cumin powder, turmeric, garam masala), cilantro, lemon juice","1. Soak chickpeas overnight, then cook until tender. 2. In a pan, heat oil and sauté chopped onions until golden brown. 3. Add ginger-garlic paste, chopped tomatoes, and green chilies, and cook until soft. 4. Add spices and salt, and cook until the mixture is fragrant. 5. Add cooked chickpeas and a little water if needed, and simmer until the flavors meld together. 6. Garnish with chopped cilantro and a splash of lemon juice before serving."
Chapati,"Whole wheat flour (atta) , Water ,Salt (optional)","1. In a mixing bowl, combine whole wheat flour and salt (if using). 2. Gradually add water and knead the mixture into a soft dough. 3. Divide the dough into small balls. 4. Roll out each ball into a thin, round shape using a rolling pin. 5. Heat a tawa (flat skillet) over medium heat. 6. Place the rolled-out dough on the hot tawa and cook until bubbles start to appear. 7. Flip the chapati and cook the other side until brown spots appear. 8. Remove from the tawa and brush with ghee or butter (optional). Serve hot."
Chhena Kheeri,"Chhena (fresh paneer) , Milk ,Sugar -,Cardamom powder , Saffron strands (optional)","1. Crumble or grate the chhena and set aside. 2. In a pan, heat milk and bring it to a boil. 3. Add sugar, cardamom powder, and saffron strands (if using) to the milk and stir until the sugar dissolves. 4. Add the crumbled chhena to the milk mixture and cook on low heat, stirring continuously. 5. Cook until the mixture thickens and attains a kheer-like consistency. 6. Remove from heat and let it cool. 7. Garnish with chopped nuts (optional) before serving."
Chicken Razala,"Chicken pieces ,Yogurt ,Onion ,Ginger-garlic paste ,Green chilies ,Cashew nuts , Poppy seeds (khus khus) , Cardamom pods , Cinnamon stick ,Cloves ,Bay leaf , Coriander powder ,Cumin powder - Red chili powder - Turmeric powder - Garam masala powder - Fresh cream - Oil - Salt","1. Marinate chicken pieces in yogurt, ginger-garlic paste, and salt for about 30 minutes. 2. In a blender, grind onion, green chilies, cashew nuts, and poppy seeds into a smooth paste. 3. Heat oil in a pan, add whole spices (cardamom, cinnamon, cloves, bay leaf), and sauté until fragrant. 4. Add the ground paste and sauté until golden brown. 5. Add coriander powder, cumin powder, red chili powder, turmeric powder, and salt. 6. Cook the masala until oil separates. 7. Add marinated chicken pieces and cook until tender. 8. Finish with garam masala powder and fresh cream. Serve hot with rice or roti."
Chicken Tikka,"Chicken breast or thigh pieces , Yogurt , Lemon juice , Ginger-garlic paste ,Red chili powder , Turmeric powder , Garam masala powder,Salt , Oil","1. In a bowl, mix yogurt, lemon juice, ginger-garlic paste, red chili powder, turmeric powder, garam masala powder, and salt to make the marinade. 2. Add chicken pieces to the marinade and coat well. 3. Cover and refrigerate for at least 2 hours or overnight. 4. Preheat the oven to 200°C (400°F). 5. Thread the marinated chicken pieces onto skewers and place them on a baking tray lined with aluminum foil. 6. Brush the chicken pieces with oil. 7. Bake in the preheated oven for 20-25 minutes or until the chicken is cooked through and slightly charred. 8. Serve hot with mint chutney and lemon wedges."
Chicken Tikka Masala,"Chicken breast or thigh pieces , Yogurt ,Lemon juice , Ginger-garlic paste , Red chili powder ,Turmeric powder ,Garam masala powder , Tomato puree , Onion , Butter , Oil ,Fresh cream , Kasuri methi (dried fenugreek leaves) - Salt","1. Marinate chicken pieces in yogurt, lemon juice, ginger-garlic paste, red chili powder, turmeric powder, garam masala powder, and salt for about 2 hours. 2. Heat oil in a pan, add marinated chicken pieces, and cook until browned. Remove and set aside. 3. In the same pan, add butter and sauté chopped onions until golden brown. 4. Add ginger-garlic paste and sauté until fragrant. 5. Add tomato puree, red chili powder, turmeric powder, and salt. Cook until the oil separates. 6. Add cooked chicken pieces and simmer for 10-15 minutes. 7. Finish with fresh cream and kasuri methi. Serve hot with naan or rice."
Chikki,"Jaggery or sugar , Peanuts or sesame seeds or mixed nuts , Ghee or oil","1. Heat ghee or oil in a pan and roast peanuts or sesame seeds until golden brown. 2. Remove from heat and set aside. 3. In the same pan, melt jaggery or sugar until it reaches a two-string consistency. 4. Add roasted peanuts or sesame seeds to the melted jaggery or sugar and mix well. 5. Pour the mixture onto a greased surface or plate and spread it evenly with a spatula. 6. Let it cool and harden. 7. Once cooled, break it into pieces and store in an airtight container."
Daal Baati Churma,"For Baati: Whole wheat flour (atta), Semolina (sooji), Ghee, Salt, Water - For Daal: Pigeon peas (tuvar dal), Water, Turmeric powder, Salt, Ghee, Cumin seeds, Asafoetida, Ginger, Green chilies, Red chili powder, Coriander powder, Garam masala, Lemon juice - For Churma: Whole wheat flour (atta), Semolina (sooji), Ghee, Jaggery, Cardamom powder, Water","1. For Baati: Mix whole wheat flour, ghee, and salt. Gradually add water to make a stiff dough. Shape into small balls and bake in a preheated oven until golden brown. 2. For Daal: Pressure cook mixed lentils with onions, tomatoes, ginger-garlic paste, green chilies, turmeric powder, red chili powder, garam masala, and salt. Temper with spices in hot oil. 3. For Churma: Mix wheat flour and ghee, then add water to make a stiff dough. Shape into small balls and fry until golden brown. Crush the fried balls and mix with powdered jaggery, cardamom powder, and chopped nuts."
Daal Puri,"For Puri: Whole wheat flour, salt, water. For Daal: Toor dal, onions, tomatoes, ginger-garlic paste, green chilies, turmeric powder, red chili powder, garam masala, coriander leaves, salt, oil.","1. For Puri: Mix whole wheat flour, salt, and water to make a stiff dough. Divide into small balls and roll out into thin discs. Deep fry until puffed and golden brown. 2. For Daal: Cook toor dal with onions, tomatoes, ginger-garlic paste, green chilies, turmeric powder, red chili powder, garam masala, and salt. Temper with spices in hot oil. Serve hot with puris."
Dal Makhani,"Whole black lentils (urad dal), kidney beans (rajma), onions, tomatoes, ginger-garlic paste, green chilies, butter, cream, red chili powder, turmeric powder, garam masala, kasuri methi, salt, oil","1. Soak whole black lentils and kidney beans overnight. Pressure cook with onions, tomatoes, ginger-garlic paste, green chilies, red chili powder, turmeric powder, and salt until soft. 2. Mash the cooked dal slightly and add butter, cream, garam masala, and kasuri methi. 3. Simmer on low heat until flavors are well blended. 4. Serve hot with rice or naan."
Dal Tadka,"Split pigeon peas (toor dal), split red lentils (masoor dal), onions, tomatoes, green chilies, ginger, garlic, cumin seeds, mustard seeds, asafoetida, turmeric powder, red chili powder, garam masala, coriander leaves, oil, ghee, salt","1. Pressure cook toor dal and masoor dal until soft. 2. Heat oil and ghee in a pan, add cumin seeds, mustard seeds, and asafoetida. 3. Add chopped onions, green chilies, ginger, and garlic. Sauté until onions are golden brown. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric powder, red chili powder, and garam masala. 6. Add cooked dal and salt. 7. Let it simmer for a few minutes. 8. Garnish with chopped coriander leaves. Serve hot with rice or roti."
Dharwad Pedha,"Milk, sugar, lemon juice, ghee, cardamom powder","1. Boil milk in a heavy-bottomed pan. 2. Add lemon juice to curdle the milk. 3. Strain the curdled milk through a muslin cloth to separate the chenna (paneer). 4. Heat ghee in a pan, add chenna, and cook on low heat until it thickens. 5. Add sugar and cardamom powder. 6. Cook until the mixture leaves the sides of the pan. 7. Remove from heat and let it cool slightly. 8. Shape into small pedhas and let them cool completely before serving."
Doodhpak,"Milk, basmati rice, sugar, saffron, cardamom powder, chopped nuts (such as almonds, cashews, pistachios)","1. Wash and soak rice for 30 minutes. 2. Boil milk in a heavy-bottomed pan. 3. Drain the soaked rice and add it to the boiling milk. 4. Cook on low heat until the rice is soft and the mixture thickens. Stir occasionally. 5. Add sugar, saffron, and cardamom powder. Mix well. 6. Cook for another 5-10 minutes. 7. Garnish with chopped nuts. Serve hot or chilled."
Double Ka Meetha,"Bread slices, milk, sugar, ghee, cardamom powder, saffron strands, chopped nuts (such as almonds, cashews, pistachios)","1. Trim the edges of the bread slices and cut them into triangles or squares. 2. Heat ghee in a pan and fry the bread slices until golden brown and crispy. 3. Boil milk in a separate pan and add sugar, cardamom powder, and saffron. 4. Dip the fried bread slices in the sweetened milk mixture for a few seconds. 5. Arrange the soaked bread slices in a serving dish. 6. Garnish with chopped nuts. Serve warm or chilled."
Dum Aloo,"Baby potatoes, yogurt, onions, tomatoes, ginger-garlic paste, green chilies, turmeric powder, red chili powder, coriander powder, garam masala, kasuri methi, oil, salt","1. Boil baby potatoes until partially cooked. 2. Heat oil in a pan and fry the potatoes until golden brown. 3. In the same pan, add chopped onions, ginger-garlic paste, and green chilies. Sauté until onions are translucent. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric powder, red chili powder, coriander powder, and garam masala. 6. Add beaten yogurt and mix well. 7. Add fried potatoes and kasuri methi. 8. Cook on low heat until potatoes are fully cooked and the gravy thickens. 9. Garnish with coriander leaves. Serve hot with rice or roti."
Gajar Ka Halwa,"Carrots, milk, sugar, ghee, cardamom powder, chopped nuts (such as almonds, cashews, pistachios), raisins",1. Grate the carrots using a grater. 2. Heat ghee in a heavy-bottomed pan and add grated carrots. Sauté for a few minutes. 3. Add milk and cook on low heat until the carrots are soft and the milk is absorbed. Stir occasionally. 4. Add sugar and cardamom powder. Mix well. 5. Continue cooking until the mixture thickens. 6. Add chopped nuts and raisins. Cook for another few minutes. 7. Remove from heat and serve hot or warm.
Gavvalu,"Rice flour, maida (all-purpose flour), ghee, water, jaggery or sugar","1. Mix rice flour and maida in a bowl. 2. Add melted ghee and mix well. 3. Gradually add water to form a smooth dough. 4. Take a small portion of the dough and roll it into a thin rope. 5. Cut the rope into small pieces. 6. Press each piece against a gavvalu maker or fork to shape it. 7. Heat oil in a pan and deep fry the shaped dough until golden brown and crispy. 8. Drain excess oil and let them cool. 9. In a separate pan, melt jaggery or sugar with a little water to make a syrup. 10. Dip the fried gavvalu in the syrup. 11. Allow them to cool completely before serving."
Ghevar,"Maida (all-purpose flour), ghee, milk, sugar, water, cardamom powder, saffron, chopped nuts (such as almonds, pistachios)","1. Prepare a thick batter by mixing maida, ghee, milk, and water. 2. Heat ghee in a deep pan and pour a ladleful of batter into it. 3. Deep fry until golden brown and crispy. 4. Remove from the ghee and drain excess oil. 5. Prepare sugar syrup by boiling sugar and water until it reaches one-string consistency. 6. Dip the fried ghevar into the sugar syrup. 7. Garnish with chopped nuts and saffron. 8. Allow it to cool and set before serving."
Gulab Jamun,"Milk powder, all-purpose flour, ghee, baking powder, milk, sugar, water, cardamom powder, saffron, chopped nuts (such as almonds, pistachios)","1. Mix milk powder, all-purpose flour, ghee, and baking powder in a bowl. 2. Gradually add milk to form a smooth dough. 3. Divide the dough into small balls and roll them into smooth balls. 4. Heat ghee in a pan and fry the dough balls until"
Imarti,"Urad dal (black gram split), rice flour, sugar, saffron strands, cardamom powder, oil for frying","1. Soak urad dal in water for 4-5 hours. 2. Drain the water and grind the dal into a smooth batter, adding little water if necessary. 3. Add rice flour, saffron strands, and cardamom powder to the batter. Mix well. 4. Heat oil in a deep pan. 5. Pour the batter into a cloth or piping bag with a small hole. 6. Squeeze the batter into the hot oil in a circular motion to form spiral shapes. 7. Fry until golden brown and crispy. 8. Drain excess oil and soak the imartis in sugar syrup for a few minutes. 9. Remove from the syrup and serve warm."
Jalebi,"All-purpose flour, yogurt, water, saffron strands, sugar, cardamom powder, lemon juice, oil for frying","1. Mix all-purpose flour, yogurt, and water to make a smooth batter. Let it ferment for 8-10 hours or overnight. 2. Prepare sugar syrup by boiling water, sugar, saffron, and cardamom powder until it reaches one-string consistency. Add lemon juice to prevent crystallization. 3. Heat oil in a flat-bottomed pan or a jalebi kadai. 4. Pour the batter into a cloth or piping bag with a small hole. 5. Squeeze the batter into the hot oil in a circular motion to form spiral shapes. 6. Fry until golden brown and crisp. 7. Drain excess oil and immediately dip the jalebis in the sugar syrup. Let them soak for a few seconds. 8. Remove from the syrup and serve hot."
Kachori,"For Dough: All-purpose flour, salt, water. For Filling: Yellow moong dal (split yellow lentils), fennel seeds, ginger, green chilies, asafoetida, turmeric powder, red chili powder, garam masala, amchur (dry mango powder), oil, salt.","1. Prepare the dough by mixing all-purpose flour, salt, and water. Knead into a smooth dough and let it rest for 15-20 minutes. 2. Meanwhile, prepare the filling by cooking yellow moong dal until soft. Drain excess water and mash slightly. 3. Heat oil in a pan, add fennel seeds, ginger, green chilies, and asafoetida. Sauté for a minute. 4. Add cooked dal, turmeric powder, red chili powder, garam masala, amchur, and salt. Cook for 5-7 minutes until the mixture is dry. 5. Divide the dough and filling into equal portions. 6. Roll out each portion of dough into a small circle. 7. Place a portion of filling in the center and seal the edges to form a ball. 8. Flatten the balls slightly. 9. Heat oil in a pan for deep frying. 10. Fry the kachoris on medium heat until golden brown and crisp. 11. Serve hot with chutney or curry."
Kadai Paneer,"Paneer (cottage cheese), onions, tomatoes, ginger-garlic paste, green chilies, capsicum (bell pepper), coriander powder, cumin powder, turmeric powder, red chili powder, garam masala, kasuri methi, cream, oil, salt","1. Heat oil in a kadai or pan. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and green chilies. Sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add coriander powder, cumin powder, turmeric powder, red chili powder, and salt. Mix well. 6. Add chopped capsicum and cook until it is slightly tender. 7. Add paneer cubes and mix gently. 8. Add garam masala and kasuri methi. 9. Pour cream and mix well. 10. Cook for another 2-3 minutes. 11. Garnish with coriander leaves. 12. Serve hot with naan or roti."
Kadhi Pakoda,"For Pakoras: Gram flour (besan), onions, spinach, green chilies, ginger, ajwain (carom seeds), salt, oil for frying. For Kadhi: Yogurt, gram flour, turmeric powder, red chili powder, asafoetida, fenugreek seeds, cumin seeds, mustard seeds, curry leaves, dried red chilies, ginger, garlic, salt, oil.","1. Prepare the pakoras by mixing gram flour, chopped onions, spinach, green chilies, ginger, ajwain, and salt. Add water as needed to make a thick batter. 2. Heat oil in a pan and drop spoonfuls of batter into the hot oil. Fry until golden brown and crisp. Drain excess oil and set aside. 3. For the kadhi, whisk yogurt with gram flour, turmeric powder, red chili powder, and salt. 4. Heat oil in a kadai or pan. Add fenugreek seeds, cumin seeds, mustard seeds, dried red chilies, and curry leaves. Sauté until fragrant. 5. Add asafoetida, ginger, and garlic. Sauté for a minute. 6. Pour the yogurt mixture into the pan. Add water and mix well. 7. Cook on low heat until the kadhi thickens and raw smell disappears. 8. Add the prepared pakoras and simmer for another 5-7 minutes. 9. Garnish with coriander leaves. 10. Serve hot with rice or roti."
Kajjikaya ,"For Dough: Maida (all-purpose flour), ghee, water, salt. For Filling: Grated coconut, jaggery, cardamom powder, chopped nuts (such as almonds, cashews, pistachios), poppy seeds, oil for frying.","1. Prepare the dough by mixing all-purpose flour, ghee, water, and salt. Knead into a smooth dough and let it rest for 15-20 minutes. 2. Meanwhile, prepare the filling by mixing grated coconut, jaggery, cardamom powder, chopped nuts, and poppy seeds. 3. Divide the dough into small balls and roll out each ball into a small circle. 4. Place a portion of filling in the center of each circle and fold it into a semi-circle. 5. Press the edges to seal and create a decorative pattern using a fork or fingers. 6. Heat oil in a pan for deep frying. 7. Fry the kajjikayas on medium heat until golden brown and crisp. 8. Drain excess oil"
