Dish,Ingredients,Procedure
Kakinada Khaja,"All-purpose flour, ghee, water, sugar, cardamom powder, oil for frying","1. Mix all-purpose flour and ghee in a bowl until crumbly. 2. Gradually add water to form a stiff dough. 3. Divide the dough into small portions and roll out each portion into a thin circle. 4. Fold the circles into pleats and roll them into a spiral shape. 5. Heat oil in a deep pan for frying. 6. Fry the prepared spirals until golden brown and crisp. 7. Drain excess oil and set aside. 8. In a separate pan, prepare sugar syrup by boiling sugar, water, and cardamom powder until it reaches one-string consistency. 9. Dip the fried spirals into the sugar syrup and let them soak for a few minutes. 10. Remove from the syrup and let them cool before serving."
Kalakand,"Milk, sugar, lemon juice or vinegar, ghee, cardamom powder, chopped nuts (such as almonds, pistachios)","1. Boil milk in a heavy-bottomed pan. 2. Add lemon juice or vinegar to curdle the milk. 3. Strain the curdled milk through a muslin cloth to separate the chenna (paneer). 4. Heat ghee in a pan and add the chenna. Cook on low heat until it thickens. 5. Add sugar and cardamom powder. Mix well. 6. Cook until the mixture thickens further and starts leaving the sides of the pan. 7. Transfer the mixture to a greased plate and spread evenly. 8. Garnish with chopped nuts and let it cool. 9. Once cooled, cut into pieces and serve."
Karela Bharta,"Bitter gourd (karela), onions, tomatoes, ginger, garlic, green chilies, turmeric powder, red chili powder, coriander powder, garam masala, amchur (dry mango powder), oil, salt","1. Peel the skin of bitter gourd, slit them lengthwise, and remove the seeds. 2. Cut them into small pieces. 3. Heat oil in a pan, add bitter gourd pieces, and fry until they turn crispy and brown. 4. Remove them from the pan and keep aside. 5. In the same pan, add chopped onions, ginger, garlic, and green chilies. Sauté until onions turn golden brown. 6. Add chopped tomatoes and cook until they turn mushy. 7. Add turmeric powder, red chili powder, coriander powder, garam masala, and salt. Mix well. 8. Add fried bitter gourd pieces and amchur. Mix well and cook for 5-7 minutes. 9. Garnish with coriander leaves and serve hot with roti or rice."
Kofta,"For Koftas: Potatoes, paneer (cottage cheese), corn flour, green chilies, ginger, coriander leaves, salt, oil for frying. For Gravy: Onions, tomatoes, ginger-garlic paste, cashew nuts, yogurt, cream, turmeric powder, red chili powder, coriander powder, garam masala, kasuri methi, oil, salt.","For Koftas: 1. Boil, peel, and mash potatoes. 2. Grate paneer and add it to the mashed potatoes. 3. Add chopped green chilies, ginger, coriander leaves, corn flour, and salt. Mix well and shape into balls. 4. Heat oil in a pan and deep fry the koftas until golden brown. Drain excess oil and set aside. For Gravy: 1. Heat oil in a pan and add chopped onions. Sauté until golden brown. 2. Add ginger-garlic paste and cook until raw smell disappears. 3. Add chopped tomatoes and cashew nuts. Cook until tomatoes are soft. 4. Allow the mixture to cool and blend it into a smooth paste. 5. Heat oil in a pan and add the paste. Cook for a few minutes. 6. Add turmeric powder, red chili powder, coriander powder, and salt. Mix well. 7. Add beaten yogurt and cook until oil separates. 8. Add cream, garam masala, and kasuri methi. Mix well. 9. Add water to adjust the consistency of the gravy. 10. Simmer for a few minutes. Assembly: 1. Just before serving, add the fried koftas to the gravy. 2. Garnish with coriander leaves and serve hot with rice or naan."
Kuzhi Paniyaram,"Rice, urad dal (black gram split), fenugreek seeds, salt, oil for greasing. Optional: Chopped onions, green chilies, coriander leaves, grated coconut.","1. Wash and soak rice, urad dal, and fenugreek seeds together for 4-6 hours. 2. Grind them into a smooth batter by adding water as needed. 3. Add salt and mix well. 4. Let the batter ferment for 8-10 hours or overnight. 5. Heat a kuzhi paniyaram pan and grease the molds with oil. 6. Pour a spoonful of batter into each mold. 7. Optionally, add chopped onions, green chilies, coriander leaves, and grated coconut on top. 8. Cover and cook on medium heat until the bottom side is golden brown. 9. Flip and cook the other side until done. 10. Remove from the pan and serve hot with chutney or sambar."
Lassi,"Yogurt, water, sugar (optional), salt (optional), cardamom powder (optional), rose water (optional), saffron strands (optional), chopped nuts (such as almonds, pistachios) (optional), mint leaves (optional).","1. In a blender, add yogurt, water, and sugar (if using). 2. Optionally, add salt, cardamom powder, rose water, saffron strands, chopped nuts, and mint leaves. 3. Blend until smooth and frothy. 4. Pour the lassi into serving glasses. 5. Garnish with saffron strands, chopped nuts, and mint leaves. 6. Serve chilled."
Ledikeni,"Khoya (reduced milk), paneer (cottage cheese), maida (all-purpose flour), sugar, ghee, water, cardamom powder, rose water, oil for frying.","1. Mash khoya and paneer together until smooth. 2. Add maida, cardamom powder, and rose water. Mix well to form a smooth dough. 3. Divide the dough into small portions and shape them into cylindrical or oval shapes. 4. Heat ghee in a pan for deep frying. 5. Fry the shaped ledikeni on low heat until golden brown. 6. Meanwhile, prepare sugar syrup by boiling sugar and water until it reaches one-string consistency. 7. Remove the fried ledikeni from the ghee and dip them into the sugar syrup. 8. Allow them to soak for a few minutes. 9. Remove from the syrup and serve."
Litti Chokha,"For Litti: Whole wheat flour, sattu (roasted gram flour), ajwain (carom seeds), salt, water, ghee. For Chokha: Potatoes, tomatoes, eggplant, onions, green chilies, garlic, ginger, coriander leaves, mustard oil, salt, lemon juice.","For Litti: 1. Mix whole wheat flour, sattu, ajwain, salt, and ghee in a bowl. 2. Gradually add water and knead into a stiff dough. 3. Divide the dough into small balls. 4. Flatten each ball and fill it with sattu mixture. 5. Close the edges and shape them into balls again. 6. Bake the littis in a preheated oven or cook them on a tawa until golden brown. 7. Smear ghee on top. For Chokha: 1. Roast potatoes, eggplant, and tomatoes over direct flame until charred. 2. Peel the skin and mash them together. 3. Add chopped onions, green chilies, garlic, ginger, coriander leaves, mustard oil, salt, and lemon juice. 4. Mix well. Serve litti with chokha and enjoy."
Lyangcha,"Khoya (reduced milk), paneer (cottage cheese), maida (all-purpose flour), sugar, ghee, water, cardamom powder, saffron strands, chopped nuts (such as almonds, pistachios).","1. Mash khoya and paneer together until smooth. 2. Add maida, sugar, cardamom powder, saffron strands, and chopped nuts. Mix well to form a smooth dough. 3. Divide the dough into small portions and shape them into cylindrical or oval shapes. 4. Heat ghee in a pan for deep frying. 5. Fry the shaped lyangchas on low heat until golden brown. 6. Remove from the ghee and drain excess oil. 7. Serve hot or warm."
Maach Jhol,"Fish pieces, mustard oil, onions, tomatoes, ginger, garlic, green chilies, turmeric powder, red chili powder, cumin powder, coriander powder, garam masala, salt, water, coriander leaves.","1. Clean and wash the fish pieces. 2. Heat mustard oil in a pan. 3. Add chopped onions, ginger, garlic, and green chilies. Sauté until onions are translucent. 4. Add chopped tomatoes and cook until they turn soft and mushy. 5. Add turmeric powder, red chili powder, cumin powder, coriander powder, and salt. Mix well. 6. Add water and bring it to a boil. 7. Gently add the fish pieces to the boiling gravy. 8. Cover and cook until the fish is cooked through. 9. Sprinkle garam masala and garnish with chopped coriander leaves. 10. Serve hot with steamed rice."
Makki di Roti Sarson da Saag,"For Makki di Roti: Makki ka atta (cornmeal), water, salt, ghee. For Sarson da Saag: Mustard greens, spinach, bathua leaves (optional), green chilies, ginger, garlic, onions, tomatoes, cumin seeds, asafoetida, turmeric powder, red chili powder, garam masala, salt, ghee.","For Makki di Roti: 1. Knead makki ka atta with water and salt to make a soft dough. 2. Divide the dough into small portions and roll out into rotis. 3. Cook the rotis on a hot griddle with ghee until golden brown spots appear on both sides. For Sarson da Saag: 1. Blanch mustard greens, spinach, and bathua leaves in boiling water for 2-3 minutes. 2. Drain and blend into a coarse paste along with green chilies, ginger, and garlic. 3. Heat ghee in a pan and add cumin seeds and asafoetida. 4. Add chopped onions and sauté until golden brown. 5. Add chopped tomatoes and cook until soft. 6. Add turmeric powder, red chili powder, and salt. Mix well. 7. Add the blended greens mixture and cook for 10-15 minutes. 8. Add garam masala and simmer for another few minutes. 9. Serve hot with makki di roti and a dollop of ghee."
Malapua,"Maida (all-purpose flour), semolina (sooji), sugar, fennel seeds, cardamom powder, ripe bananas, milk, water, oil for frying.","1. Mix maida, semolina, sugar, fennel seeds, and cardamom powder in a bowl. 2. Mash ripe bananas and add them to the dry ingredients. 3. Gradually add milk and water to make a smooth batter. 4. Heat oil in a pan for frying. 5. Pour a ladleful of batter into the hot oil to form a small pancake. 6. Fry until golden brown on both sides. 7. Drain excess oil and dip the malapuas in sugar syrup if desired. 8. Serve hot or warm."
Misi Roti,"Whole wheat flour, gram flour (besan), onion, green chilies, coriander leaves, carom seeds (ajwain), salt, oil.","1. In a mixing bowl, combine whole wheat flour, gram flour, finely chopped onion, green chilies, coriander leaves, carom seeds, and salt. 2. Gradually add water and knead into a soft dough. 3. Divide the dough into small portions and roll out each portion into a thin circle. 4. Heat a tawa or griddle and place the rolled roti on it. 5. Cook on both sides until golden brown spots appear. 6. Brush with oil or ghee while cooking. 7. Serve hot with any curry or pickle."
Mishti Doi,"Milk, sugar, yogurt (curd), cardamom powder, saffron strands.","1. Boil milk in a heavy-bottomed pan until it reduces to half the quantity. 2. Add sugar and continue to cook until the sugar dissolves completely. 3. Allow the milk to cool down to room temperature. 4. Once cooled, add yogurt (curd) to the milk and mix well. 5. Add cardamom powder and saffron strands for flavor. 6. Pour the mixture into earthen pots or any other container. 7. Keep the pots in a warm place for fermentation. 8. After 6-8 hours, refrigerate the mishti doi until chilled. 9. Serve cold as a dessert."
Modak,"Rice flour, jaggery, coconut, cardamom powder, ghee.",For Outer Covering: 1. Heat water in a pan and bring it to a boil. 2. Add rice flour to the boiling water and mix well to form a dough. 3. Remove from heat and allow it to cool slightly. 4. Knead the dough while it is still warm to make it smooth. For Filling: 1. Heat ghee in a pan and add grated coconut. 2. Add jaggery and cook until it melts and blends with coconut. 3. Add cardamom powder for flavor and mix well. 4. Remove from heat and allow the mixture to cool down. Shaping Modak: 1. Take a small portion of the dough and flatten it into a small disc shape. 2. Place a spoonful of the coconut-jaggery filling in the center. 3. Bring the edges together and shape them into a modak. 4. Repeat the process with the remaining dough and filling. Steaming Modak: 1. Grease a steamer plate with ghee and arrange the modaks on it. 2. Steam the modaks for about 10-12 minutes until they are cooked. 3. Remove from the steamer and allow them to cool slightly before serving.
Mysore Pak,"Besan (gram flour), ghee, sugar, water.","1. Heat ghee in a heavy-bottomed pan. 2. Add besan (gram flour) to the ghee and roast on low heat until it turns aromatic and changes color slightly. 3. Meanwhile, in another pan, prepare sugar syrup by boiling sugar and water until it reaches one-string consistency. 4. Slowly add the sugar syrup to the roasted besan while stirring continuously to avoid lumps. 5. Continue cooking and stirring until the mixture thickens and leaves the sides of the pan. 6. Pour the mixture into a greased plate and spread it evenly. 7. Allow it to cool for a few minutes and cut it into pieces while it is still warm. 8. Let it cool completely and then remove the pieces from the plate. 9. Store in an airtight container."
Naan,"All-purpose flour, yeast, sugar, warm water, yogurt, salt, oil, butter, garlic (optional), coriander leaves (optional).","Dough Preparation: 1. In a bowl, mix yeast, sugar, and warm water. Let it rest for 5-10 minutes until frothy. 2. In another bowl, combine all-purpose flour, yogurt, salt, and oil. 3. Add the yeast mixture to the flour and knead into a soft dough. 4. Cover the dough and let it rest in a warm place for 1-2 hours until it doubles in size. Naan Making: 1. Preheat the oven to its highest temperature with a pizza stone or baking sheet inside. 2. Divide the dough into equal-sized balls. 3. Roll out each ball into an oval or teardrop shape. 4. Optionally, sprinkle chopped garlic and coriander leaves on top. 5. Place the rolled naan on the hot pizza stone or baking sheet and bake for 2-3 minutes until puffed up and golden brown. 6. Brush with melted butter and serve hot."
Navrattan Korma,"Mixed vegetables (carrots, beans, peas, potatoes, cauliflower), paneer (cottage cheese), cashew nuts, almonds, onions, tomatoes, ginger-garlic paste, yogurt, cream, garam masala, turmeric powder, red chili powder, coriander powder, cumin powder, kasuri methi, oil, ghee, salt.","1. Boil or steam the mixed vegetables until they are partially cooked. 2. Heat oil in a pan and fry paneer cubes until golden brown. Drain and set aside. 3. In the same pan, add ghee and sauté chopped onions until golden brown. 4. Add ginger-garlic paste and cook until the raw smell disappears. 5. Add chopped tomatoes and cook until soft. 6. Add cashew nuts and almonds. Cook for a few minutes. 7. Allow the mixture to cool and blend it into a smooth paste. 8. Heat oil in a pan and add the blended paste. 9. Add turmeric powder, red chili powder, coriander powder, cumin powder, and salt. Cook until the oil separates. 10. Add whisked yogurt and mix well. 11. Add boiled vegetables, paneer, and kasuri methi. Simmer for 5-7 minutes. 12. Add cream and garam masala. Mix gently. 13. Garnish with chopped coriander leaves and serve hot with naan or rice."
Palak Paneer,"Spinach (palak), paneer (cottage cheese), onions, tomatoes, ginger, garlic, green chilies, cumin seeds, turmeric powder, red chili powder, coriander powder, garam masala, cream, oil, ghee, salt.","1. Blanch spinach leaves in boiling water for 2 minutes. Drain and transfer them to ice-cold water. 2. Blend blanched spinach into a smooth paste. 3. Heat oil in a pan and add cumin seeds. 4. Add chopped onions and sauté until golden brown. 5. Add ginger, garlic, and green chilies. Sauté for a minute. 6. Add chopped tomatoes and cook until soft. 7. Add turmeric powder, red chili powder, coriander powder, and salt. Mix well. 8. Add the spinach puree and cook for 5-7 minutes. 9. Add paneer cubes and garam masala. Simmer for another 2-3 minutes. 10. Finish with a dollop of cream and a drizzle of ghee. 11. Serve hot with naan or rice."
Paneer Butter Masala,"Paneer (cottage cheese), onions, tomatoes, ginger, garlic, green chilies, cashew nuts, cream, butter, kasuri methi, garam masala, turmeric powder, red chili powder, coriander powder, cumin powder, oil, ghee, salt.","1. Heat oil in a pan and add chopped onions. Sauté until golden brown. 2. Add ginger, garlic, and green chilies. Cook until the raw smell disappears. 3. Add chopped tomatoes and cashew nuts. Cook until tomatoes are soft. 4. Allow the mixture to cool and blend it into a smooth paste. 5. Heat butter and ghee in a pan. 6. Add the blended paste and cook until the oil separates. 7. Add turmeric powder, red chili powder, coriander powder, cumin powder, and salt. Mix well. 8. Add paneer cubes and kasuri methi. Cook for 5-7 minutes. 9. Add cream and garam masala. Mix gently. 10. Garnish with cream and chopped coriander leaves. 11. Serve hot with naan or rice."
Phirni,"Rice, milk, sugar, saffron strands, cardamom powder, chopped nuts (such as almonds, pistachios).",1. Wash and soak rice in water for 30 minutes. Drain the water and grind the rice into a coarse powder. 2. Boil milk in a heavy-bottomed pan. 3. Add the ground rice to the boiling milk and cook on low heat until the mixture thickens. Stir continuously to prevent lumps. 4. Add sugar and cook until it dissolves completely. 5. Add saffron strands and cardamom powder for flavor. 6. Mix well and cook for another 5-7 minutes. 7. Remove from heat and allow it to cool slightly. 8. Pour the phirni into serving bowls and garnish with chopped nuts. 9. Refrigerate for a few hours until set. 10. Serve chilled as a dessert.
Pithe,"Rice flour, jaggery, coconut, milk, sugar, cardamom powder, oil for frying.",For Outer Covering: 1. Mix rice flour with warm water to form a smooth dough. 2. Divide the dough into small portions and shape them into small cups. For Filling: 1. Heat jaggery and coconut in a pan until the jaggery melts and mixes well with the coconut. 2. Add cardamom powder and mix. 3. Fill the rice flour cups with the jaggery-coconut mixture. Cooking: 1. Heat oil in a pan for frying. 2. Fry the filled pithe until golden brown. 3. Drain excess oil and serve.
Poha,"Flattened rice (poha), onions, potatoes, peanuts, green chilies, curry leaves, mustard seeds, turmeric powder, salt, sugar, lemon juice, coriander leaves, oil.","1. Rinse poha under running water and drain. 2. Heat oil in a pan and add mustard seeds. 3. Once they crackle, add curry leaves, chopped onions, and green chilies. Sauté until onions turn translucent. 4. Add chopped potatoes and cook until they are soft. 5. Add turmeric powder, salt, and sugar. Mix well. 6. Add soaked poha and mix gently. 7. Cook for a few minutes. 8. Add lemon juice and chopped coriander leaves. 9. Serve hot."
Poornalu,"Chana dal (split chickpeas), jaggery, rice flour, cardamom powder, oil for frying.",1. Cook chana dal until soft and drain excess water. 2. Mash the cooked chana dal and add jaggery and cardamom powder. Mix well. 3. Make small balls out of this mixture. 4. Prepare a dough using rice flour and water. 5. Flatten a small portion of the dough and place a chana dal-jaggery ball in the center. 6. Close the edges and shape them into balls again. 7. Heat oil in a pan for frying. 8. Fry the poornalu until golden brown. 9. Drain excess oil and serve.
Pootharekulu,"Rice flour, sugar, ghee, cardamom powder.",1. Prepare a thin batter by mixing rice flour with water. 2. Heat a tawa and pour a ladleful of batter. 3. Spread it thinly like a crepe. 4. Cook until it turns crisp. 5. Remove from the tawa and allow it to cool slightly. 6. Sprinkle sugar and cardamom powder on top. 7. Roll the crepe tightly. 8. Heat ghee in a pan and fry the rolled crepe until golden brown. 9. Remove from heat and let it cool. 10. Serve crispy pootharekulu.
Qubani Ka Meetha,"Dried apricots, sugar, water, saffron strands, cardamom powder, almonds, pistachios.",1. Soak dried apricots in water overnight. 2. Remove the seeds and chop them into small pieces. 3. Cook the chopped apricots with sugar and water until they are soft and mushy. 4. Add saffron strands and cardamom powder. Mix well. 5. Garnish with chopped almonds and pistachios. 6. Serve warm or chilled.
Rabri,"Milk, sugar, saffron strands, cardamom powder, almonds, pistachios.","1. Boil milk in a heavy-bottomed pan and simmer until it reduces to half the quantity. 2. Add sugar, saffron strands, and cardamom powder. Mix well. 3. Continue cooking until the milk thickens further. 4. Remove from heat and allow it to cool slightly. 5. Garnish with chopped almonds and pistachios. 6. Serve chilled."
Ras Malai,"Milk, lemon juice, sugar, water, cardamom powder, saffron strands, almonds, pistachios.","For Rasgulla: 1. Boil milk and curdle it by adding lemon juice. 2. Strain the curdled milk through a muslin cloth to separate the chenna (paneer). 3. Knead the chenna until smooth and divide it into small portions. 4. Shape each portion into a smooth ball. 5. Boil sugar and water in a wide pan and add the chenna balls. 6. Cook covered for 15-20 minutes. For Ras Malai: 1. Boil milk in a pan and add sugar, cardamom powder, and saffron strands. 2. Simmer until the milk thickens. 3. Remove from heat and cool. 4. Soak the prepared rasgullas in the cooled milk. 5. Garnish with chopped almonds and pistachios. 6. Chill before serving."
Rasgulla,"Milk, lemon juice, sugar, water, cardamom powder.",1. Boil milk and curdle it by adding lemon juice. 2. Strain the curdled milk through a muslin cloth to separate the chenna (paneer). 3. Knead the chenna until smooth and divide it into small portions. 4. Shape each portion into a smooth ball. 5. Boil sugar and water in a wide pan and add the chenna balls. 6. Cook covered for 15-20 minutes. 7. Remove from heat and cool. 8. Serve chilled.
Sandesh,"Chenna (paneer), sugar, cardamom powder, saffron strands, chopped nuts (such as almonds, pistachios).",1. Knead chenna until smooth. 2. Add sugar and cardamom powder. Mix well. 3. Shape the mixture into small discs or balls. 4. Garnish with saffron strands and chopped nuts. 5. Chill for a few hours before serving.
Shankarpali,"All-purpose flour, semolina (sooji), ghee, sugar, milk, cardamom powder, oil for frying.","1. In a mixing bowl, combine all-purpose flour, semolina, ghee, sugar, cardamom powder, and milk to make a stiff dough. 2. Knead the dough well and let it rest for 15-20 minutes. 3. Roll out the dough into a thick sheet and cut into diamond or square shapes using a knife or cookie cutter. 4. Heat oil in a deep pan for frying. 5. Deep fry the shankarpalis on medium heat until golden brown and crispy. 6. Drain excess oil on paper towels and let them cool completely before storing in an airtight container."
Sheer Korma,"Vermicelli, milk, sugar, ghee, mixed nuts (such as almonds, cashews, pistachios), dates, raisins, cardamom powder, saffron strands.","1. Heat ghee in a pan and roast the vermicelli until golden brown. 2. Add milk and cook until the vermicelli is soft and the milk thickens slightly. 3. Add sugar and mix well until dissolved. 4. Add chopped mixed nuts, dates, raisins, cardamom powder, and saffron strands. 5. Simmer for a few more minutes until the flavors are well combined. 6. Serve hot or chilled."
Sheera,"Semolina (sooji), ghee, sugar, water, cardamom powder, saffron strands, mixed nuts (such as almonds, cashews, pistachios), raisins.","1. Heat ghee in a pan and roast semolina until golden brown and aromatic. 2. In another pan, heat water and sugar until the sugar dissolves completely. 3. Slowly add the sugar syrup to the roasted semolina while stirring continuously to avoid lumps. 4. Add cardamom powder and saffron strands for flavor. 5. Cook until the sheera thickens and starts to leave the sides of the pan. 6. Add chopped mixed nuts and raisins. 7. Mix well and remove from heat. 8. Serve hot."
Shrikhand,"Hung curd (strained yogurt), sugar, saffron strands, cardamom powder, mixed nuts (such as almonds, pistachios), rose water (optional).","1. Hang the curd in a muslin cloth for a few hours to remove excess whey and obtain thick hung curd. 2. In a mixing bowl, combine hung curd, sugar, saffron strands, and cardamom powder. 3. Mix well until sugar dissolves and the mixture becomes smooth and creamy. 4. Add chopped mixed nuts and a few drops of rose water for fragrance (if using). 5. Chill the shrikhand in the refrigerator for a couple of hours before serving. 6. Serve chilled as a dessert."
Sohan Halwa,"Cornflour, ghee, sugar, water, cardamom powder, mixed nuts (such as almonds, cashews, pistachios), saffron strands.","1. Heat ghee in a heavy-bottomed pan and roast cornflour until aromatic. 2. In another pan, prepare sugar syrup by boiling sugar and water until it reaches a thick consistency. 3. Slowly add the sugar syrup to the roasted cornflour while stirring continuously to avoid lumps. 4. Cook over low heat until the mixture thickens and leaves the sides of the pan. 5. Add cardamom powder and mix well. 6. Add chopped mixed nuts and saffron strands. 7. Pour the mixture into a greased plate and spread evenly. 8. Let it cool completely and set. 9. Cut into pieces and serve."
Sohan Papdi,"Gram flour (besan), ghee, sugar, water, cardamom powder, mixed nuts (such as almonds, cashews, pistachios).","1. Heat ghee in a heavy-bottomed pan and roast gram flour until golden brown and aromatic. 2. In another pan, prepare sugar syrup by boiling sugar and water until it reaches a thick consistency. 3. Slowly add the sugar syrup to the roasted gram flour while stirring continuously to avoid lumps. 4. Cook over low heat until the mixture thickens and leaves the sides of the pan. 5. Add cardamom powder and mix well. 6. Add chopped mixed nuts and mix again. 7. Pour the mixture onto a greased surface and spread it evenly using a greased rolling pin. 8. Let it cool slightly and cut into square or diamond shapes. 9. Allow it to cool completely and store in an airtight container."
Sutar Feni,"Refined flour (maida), ghee, sugar, water, cardamom powder.",1. Knead the refined flour with water to make a soft dough. 2. Divide the dough into small portions and roll out each portion into thin strips. 3. Heat ghee in a deep pan for frying. 4. Fry the rolled strips in hot ghee until golden brown and crisp. 5. Remove from the ghee and drain excess oil. 6. Dip the fried strips into sugar syrup for a few seconds. 7. Remove from the syrup and sprinkle cardamom powder on top. 8. Allow it to cool completely before serving.
Unni Appam,"Rice flour, jaggery, mashed banana, grated coconut, cardamom powder, ghee, baking soda, water.","1. In a bowl, mix rice flour, grated coconut, mashed banana, cardamom powder, and melted jaggery. 2. Add water gradually to form a thick batter. 3. Heat the appam pan and grease the molds with ghee. 4. Add a pinch of baking soda to the batter and mix well. 5. Pour the batter into the molds. 6. Cook on low flame until the appams turn golden brown and crispy on both sides. 7. Remove from the pan and serve hot."
